Classification	EW27	EW28	EW29	EW30	EW31	EW32	EW33	EW34	EW35	EW36	EW37	EW38
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Prototheca|s__Prototheca_wickerhamii	57	121	63	59	72	68	70	129	109	118	21	92
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Marvania|s__Marvania_geminata	82	38	28	34	107	15	100	73	93	55	37	65
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Parachlorella|s__Parachlorella_kessleri	85	113	59	74	68	34	98	110	103	114	83	59
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Auxenochlorella|s__Auxenochlorella_protothecoides	87	149	146	119	92	11	135	80	130	113	54	195
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Chlorella|s__Chlorella_heliozoae	14	28	25	0	39	25	57	37	21	0	27	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Chlorella|s__Chlorella_sorokiniana	127	110	212	148	93	59	253	193	78	79	25	128
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Chlorella|s__Chlorella_vulgaris	117	139	126	127	103	11	68	113	124	137	43	173
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Chlorella|s__Chlorella_variabilis	268	592	305	123	408	5428	1599	723	342	449	93	382
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Micractinium|s__Micractinium_variabile	80	46	155	78	35	21	108	118	27	67	0	45
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Micractinium|s__Micractinium_conductrix	3308	1179	4167	1258	828	241	3074	3406	795	908	49	435
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlorosarcinales|f__Chlorosarcinaceae|g__Chlorosarcinopsis|s__Chlorosarcinopsis_eremi	122	264	157	180	84	163	177	436	284	150	117	225
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|f__Microsporaceae|g__Microspora|s__Microspora_stagnorum	23	28	34	12	47	19	29	62	33	31	0	44
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|f__Treubariaceae|g__Treubaria|s__Treubaria_triappendiculata	28	70	94	86	53	22	120	38	76	55	28	99
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|g__Jenufa|s__Jenufa_minuta	16	106	95	0	22	0	80	32	54	93	42	37
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|g__Jenufa|s__Jenufa_perforata	56	116	102	72	37	20	48	72	116	73	29	94
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chaetopeltidales|f__Chaetopeltidaceae|g__Floydiella|s__Floydiella_terrestris	36	55	37	38	67	21	96	106	58	65	24	89
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chaetophorales|f__Schizomeridaceae|g__Schizomeris|s__Schizomeris_leibleinii	102	233	187	138	115	39	238	90	171	314	87	323
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chaetophorales|f__Uronemataceae|g__Uronema|s__Uronema_confervicola	115	195	96	645	832	22	75	311	90	1433	54	10687
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chaetophorales|f__Aphanochaetaceae|g__Aphanochaete|s__Aphanochaete_confervicola	59	232	127	100	87	43	222	86	132	191	74	252
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chaetophorales|f__Aphanochaetaceae|g__Aphanochaete|s__Aphanochaete_elegans	101	232	203	179	138	44	191	122	169	227	86	405
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chaetophorales|f__Chaetophoraceae|g__Stigeoclonium|s__Stigeoclonium_helveticum	70	172	175	158	138	22	116	81	122	470	51	417
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chaetophorales|f__Chaetophoraceae|g__Chaetophoropsis|s__Chaetophoropsis_polyrhiza	210	321	232	689	539	23	147	333	292	4059	112	4822
