Classification	EW01	EW02	EW03	EW04	EW05	EW06	EW07	EW08	EW09	EW10	EW11	EW12	EW13	EW14	EW15	EW16	EW17	EW18	EW19	EW20	EW21	EW22	EW23	EW24	EW25	EW26
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Prasiolales|f__Koliellaceae|g__Koliella|s__Koliella_corcontica	149	224	242	100	196	70	212	58	96	57	49	146	163	118	305	67	85	203	50	95	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Oocystaceae|g__Binuclearia|s__Binuclearia_lauterbornii	66	128	181	107	240	73	249	81	198	180	233	91	91	219	213	82	97	173	172	49	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Helicosporidium|s__Helicosporidium_sp._ex_Simulium_jonesi	43	56	100	25	42	35	63	67	69	60	29	58	20	32	76	36	56	51	54	47	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Dicloster|s__Dicloster_acuatus	51	81	164	41	136	61	233	44	530	56	117	79	83	48	151	48	41	109	47	38	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Auxenochlorella|s__Auxenochlorella_protothecoides	109	225	244	229	166	64	284	98	250	154	198	73	147	77	239	140	262	151	169	70	34	26	49	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Geminella|s__Geminella_minor	126	373	404	157	122	80	445	99	392	152	71	162	153	162	514	88	142	188	186	134	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Pseudochloris|s__Pseudochloris_wilhelmii	126	182	116	185	265	81	133	119	346	146	317	157	73	223	287	135	360	152	205	174	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Marvania|s__Marvania_geminata	144	96	60	84	60	39	65	70	64	68	51	88	38	48	156	98	76	62	87	90	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Pseudochlorella|s__Pseudochlorella_signiensis	192	183	263	220	310	117	485	170	337	199	109	65	169	190	337	168	257	189	163	77	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Parachlorella|s__Parachlorella_kessleri	202	269	151	191	179	44	258	133	162	86	164	186	120	260	515	140	256	172	194	142	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Prototheca|s__Prototheca_stagnorum	18	0	18	0	17	12	13	0	0	0	12	0	12	0	0	0	20	28	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Prototheca|s__Prototheca_ciferrii	43	69	84	95	77	97	98	64	126	55	88	91	69	55	44	62	87	39	39	81	0	0	0	0	0	0
